SMILES of Virtual Hit Molecule;Enamine ID;Rank
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC(CCc5ccccc5)(C)CC4)c3nc2)O1;Z2091630677;20
O=C1N(C)C(=O)c2n(CCCN(CC3(O)c4c(cccc4)CC3)C)cnc2N1C;Z3650812002;20
Clc1nc(N2CC3(Oc4c(C(=O)C3)cccc4)CCC2)c2ncn(C)c2n1;Z3718907270;20
OC1C2N(c3ncnc4n(-c5ccccc5)cnc34)CC3C2CC1C3;Z2612995312;20
OC1C2N(c3nc(Nc4ccccc4)c4[nH]cnc4n3)CC3C2CC1C3;Z2612995504;20
O=C(C(COC)C)N1CCC(Nc2nc3nc[nH]c3cn2)(CO)CC1;m_274310____15937466____12658040____15870074;20
OC[C@H]1[C@H](C2CCOCC2)CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C1;Z3833772933;20
O=C(Cn1c2ncnc(N)c2nc1)N1CC(O)(CNC(=O)[C@H]2[C@H](C)C2)C1;m_275592____14114974____14139992____15858030;20
O=C(NC1CN(c2nc3nc[nH]c3cn2)CC2(C1)CC2)C(O)(C)C1CC1;m_274310____15938082____15940274____15870074;20
O=C(NCC1C2(N(c3nc(O)c4n(C)cnc4n3)CC1)CC2)C1(O)CC1;m_274310____15938374____15941446____15870922;20
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC5(c6c(ccc(O)c6)C4)CC5)c3nc2)O1;Z2186044869;21
Fc1c(OC)ccc(C(=O)CCC(=O)NCC2OCCN(c3ncnc4[nH]cnc34)C2)c1;Z1451077125;21
Fc1cc2OC(C(=O)N3CCN(c4ncnc5[nH]cnc45)CCC3)CCc2cc1;Z2331867981;21
O=C(NC1C(Oc2cc(C)ccc2)CCCC1)C(C)n1c2ncnc(N)c2nc1;Z2634465447;21
O(C)c1ccc(C2=CCN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)C2)cc1;Z2092189187;21
O=C(NCC1CN(c2nc3n(C)cnc3cn2)CC1)C(OC)C1CCC1;m_274310____14112754____14121518____15871032;21
O(CCn1c(CNC2c3c(c(O)ccc3)CCC2)nc2N(CCC)C(=O)NC(=O)c12)C;Z1845591670;22
O=C(N(Cc1cc(OC)c(OC)cc1)C1C(C)CCCC1)Cn1c2ncnc(N)c2nc1;Z1581652431;22
O(C)c1c(OC)ccc(CCC2N(c3ncnc4n(C)cnc34)CCCC2)c1;Z1343343974;22
