SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(Nc1cc2C(=O)C=COc2cc1)N1C2C3(C(C)(C)C(C2)CC3)CC1;s_2430____13770670____14597920;15
O=C(NC12C(N(CCCO)CC1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14114316____14122416____14147082;16
F[C@H]1[C@H]2N(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)C[C@H]([C@H]2C(=O)OC)C1;Z3913607040;16
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC[C@H]3[C@@H]2C3)CCC1;Z3599058896;16
O=C(NCC(O)COc1cc2c(NC(=O)CC2)cc1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z846268722;16
O=C(N1C(C(=O)OC)CCC(C(=O)OC)C1)C=1Oc2c(C(=O)C=1)cccc2;Z2718748279;16
Brc1cc2OC(C(=O)NCC(O)C3COCC3)=CC(=O)c2cc1;Z3844066743;16
Clc1cc2C(=O)C=C(C(=O)N(Cc3ccccc3)CC3(O)C(C)OCC3)Oc2cc1;Z1934850584;16
Brc1cc2OC(C(=O)N3C(C)(C)CCC(O)C3)=CC(=O)c2cc1;Z4094634237;16
Fc1cc2C(=O)C=C(C(=O)N(CC3OCCC3)C3CCC(C)CC3)Oc2cc1;Z1265406108;16
FC(F)(F)CCC(O)(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC;Z3992739608;17
O=C(N1CC2(C(CO)C1)CCNCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3889406584;17
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C(O)CC1)CCOCC2;Z3599058310;17
O=C(N1[C@H]2[C@H](O)CC[C@H]2CC1)c1cc2OC=CC(=O)c2cc1;Z2723095745;17
FC(F)(F)CCC(O)(CNC(=O)c1cc2OC=CC(=O)c2cc1)CC;Z2964057252;17
O=C(N1[C@H]2[C@H](O)C[C@@H](C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3613080393;17
O=C(N1CCC2(C(CN)CCC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888576763;17
Clc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)CC4(C3)CC4)Oc2cc1;Z3594536999;17
