SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NC1(C2(O)CCN(c3ncnc4nc[nH]c34)CC2)CC1)C(CC)C;m_274310____15938318____12657900____12649998;13
O=C(NC1C2C(N(C(=O)c3ncnc4nc[nH]c34)C1)CCCC2)[C@H](O)C;m_275592____15865780____15841972____15863234;13
O=C(C(C)n1c2ncnc(N)c2nc1)N1C[C@@]2(C(=O)OC)[C@@H](C1)CCCC2;Z2642338602;13
O=C(NC[C@H]1[C@]2(c3c(cccc3)CCC2)C1)CCn1c2ncnc(N)c2nc1;Z3703765577;13
O=C(NC1(C2(O)CCN(c3nc4n(C)cnc4cn3)CC2)CC1)CC;m_274310____15938318____12170230____15871032;13
O=C(NC1(CO)CN(c2ncnc3nc[nH]c23)C1)CC(O)(CCC)C;m_274310____15937896____15944758____12649998;13
FC(F)(F)C1CC(O)(CNC(=O)Cn2c3ncnc(N)c3nc2)CCC1;Z1768543764;13
OC1CN(c2ncnc3n(-c4ccccc4)cnc23)C(C2COCCC2)C1;Z2613402802;14
OC1CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C(C2COCCC2)C1;Z2613402978;14
O=C(NCCO)[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC(C)C;Z2612164244;14
OC1CC2C(CN(c3ncnc4n(-c5ccccc5)cnc34)C2)CC1;Z2613649233;14
O=C(NCC(O)CNc1nc2ncn(C)c2cn1)C1ON=C(C2CC2)C1;m_274310____14112866____15945202____15871096;14
O=C1C2(CN(c3ncnc4n(-c5ccccc5)cnc34)C2)CC(O)CN1;Z3077895255;14
O=C(OC)C(NC(=O)C(C)n1c2ncnc(N)c2nc1)CC1COCCC1;Z2719830045;14
Fc1ccc(OCC2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2093291650;14
O=C(CCn1c2ncnc(N)c2nc1)N1[C@H](C(OC(C)(C)C)=O)C[C@H](O)C1;Z2721808728;14
O=C(NCCC1(O)CN(c2ncnc3nc[nH]c23)C1)C1C(C)CC(=O)N1;m_274310____15937540____15942600____12649998;14
O=C(NCCC1(O)CN(c2nc3ncn(C)c3cn2)C1)C1NC(=O)CC1;m_274310____15937540____15939670____15871096;14
Clc1nc(N2CCC(C(O)c3cc(OC)ccc3)CC2)c2[nH]cnc2n1;Z2973783365;14
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CC1CC(O)CC1;m_274310____14112866____15944068____15870074;14
OC1CC2(OCC1)CCN(c1nc(Nc3ccccc3)c3[nH]cnc3n1)CC2;Z2976067036;14
FC(C(=O)NC[C@@H](Nc1nc2ncn(C)c2cn1)CO)C1COCC1;m_274310____15937766____15944434____15871096;14
FC(F)(F)Oc1cc(C2(O)CCN(c3[nH]c4C(=O)N(C)C(=O)N(C)c4n3)CC2)ccc1;Z2157638352;14
O=C(NC1(C(=O)OCCn2c3C(=O)N(C)C(=O)N(C)c3nc2)c2c(cccc2)CCC1)C;Z1074614700;14
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CC1(OC)CCC1;m_274310____14112866____12658290____15870074;15
O(C)c1cc(CN(CC(C)C)c2ncnc3n([C@H]4[C@H](O)[C@H](O)[C@@H](CO)O4)cnc23)ccc1;Z2090160957;15
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1CC(CC)OCC1;m_274310____14112866____14120730____12649998;15
O=C(NC(C)C1(O)CCN(c2nc3ncn(C)c3cn2)CC1)C1CCC1;m_274310____15938184____12185804____15871096;15
Fc1ccc(CNC(=O)CC2CN(c3nc(O)c4n(C)cnc4n3)CCC2)cc1;Z3718900971;15
O=C(Cn1c2ncnc(N)c2nc1)N1CC2(C(=O)NCC(O)C2)C1;s_22____13142178____3937074;15
S(CCC(O)C(=O)NCC(Nc1ncnc2nc[nH]c12)C1CC1)C;m_274310____14112692____15941492____12649998;15
O=C(NCC1(Nc2nc3nc[nH]c3cn2)CCC1)CC1(O)COCC1;m_274310____14113008____15941282____15870074;15
O=C(NC(CNc1nc2nc[nH]c2cn1)C1CC1)CC1(O)COCC1;m_274310____14112886____15941282____15870074;15
O=C(NCCC1(OC)CN(c2nc3nc[nH]c3cn2)C1)CCCC1CC1;m_274310____15938388____14119042____15870074;15
O=C(NC1C2N(c3nc4n(C)cnc4cn3)CC(C1)CC2)CC(OC)C;m_274310____15937606____12658018____15871032;15
Oc1nc(N2C(C3COCCC3)CC(O)C2)nc2ncn(C)c12;Z3718893824;15
O(C)c1cc(OC)cc(CCC2CCN(c3ncnc4n(C)cnc34)CC2)c1;Z1172342004;16
O=C(N1CC(O)CN(c2ncnc3nc[nH]c23)CC1)C12COC(C1)CC2;m_274310____15937446____15944796____12649998;16
OC(CN(CCn1c2ncnc(N)c2nc1)C)C1c2c(cccc2)CCC1;Z3650965158;16
Fc1c(O)ccc(CC(NC(=O)c2ncnc3nc[nH]c23)C(=O)OC)c1;s_22____14174274____12807966;16
O=C1N(C2CC2)C2C(CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)CC1;Z2091964963;16
O=C(CC1C(C)CCO1)N1CC(O)(CNc2nc3nc[nH]c3cn2)C1;m_274310____15938070____15945318____15870074;16
O=C(N1CC(O)(CNc2nc3nc[nH]c3cn2)C1)C1CC2(C1)COCC2;m_274310____15938070____15944934____15870074;16
O=C(NCCC1(CNc2nc3nc[nH]c3cn2)CC1)C(O)(COC)C;m_274310____14113270____15940256____15870074;16
O=C(NC1C(O)CN(c2nc3nc[nH]c3cn2)CC1)C1(C)NC(=O)CC1;m_274310____14113432____15939524____15870074;16
FC(C(=O)NCC(O)CNc1nc2ncn(C)c2cn1)(CCCC)C;m_274310____14112866____14121236____15871096;16
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC(CC5COCC5)CCC4)c3nc2)O1;Z2092171257;16
O=C(NC1CC2(C(Nc3ncnc4n(CC)cnc34)C2)C1)C1(O)COC1;m_274310____15937912____15939740____12359766;16
FC(F)(C(=O)N1CC(O)(CNc2nc3nc[nH]c3cn2)C1)CC1CC1;m_274310____15938070____15942790____15870074;16
O(C)c1cc(OC)cc(NC2CN(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCC2)c1;Z1450134254;16
O=C(CN1C(=O)N(C)c2ncn(C)c2C1=O)N1C2C3C(C(C1)CC2)CN(Cc1ccccc1)C3;Z2524819893;16
O=C(N1CC2C(Nc3nc4n(C)cnc4cn3)CCC2C1)C1(O)COC1;m_274310____14112726____15939740____15871032;16
O=C(NCCn1c2ncnc(N)c2nc1)CC(O)(c1ccccc1)C1CC1;Z2719728851;16
O=C(NC(C)C1(O)CN(C(=O)Cn2c3ncnc(N)c3nc2)CC1)C;m_275592____15865588____13186878____15858030;16
O=C(N1CC(O)(C(NC(=O)C2CC2)C)CC1)c1ncnc2nc[nH]c12;m_275592____15865588____13186882____15863234;16
Clc1nc(N2C3C(NC(=O)CO)CCC(C3)CC2)c2[nH]cnc2n1;m_274310____15937982____15943396____15867404;16
O=C(C)N1CC2C(NCc3n(CCOC)c4C(=O)NC(=O)N(CCC)c4n3)CCCC2C1;Z2149936016;16
O=C(NC(CO)C1CC(OC)CCC1)C(C)n1c2ncnc(N)c2nc1;Z2643662773;17
O(C)c1c(C2CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)cccc1;Z2091255507;17
O=C(NCC(O)CNc1nc2ncn(C)c2cn1)C1(COC)CCC1;m_274310____14112866____14118856____15871096;17
O=C(OCCn1c2C(=O)N(C)C(=O)N(C)c2nc1)C1(O)CN(Cc2ccccc2)CCC1;Z1304349953;17
O=C(NCC1N(c2ncnc3nc[nH]c23)CCC1C1CC1)C1(O)COC1;m_274310____15938320____15939740____12649998;17
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1(CC(C)C)COC1;m_274310____14112866____15942300____12649998;17
O=C(NC(C)C1(O)CN(c2nc3nc[nH]c3cn2)C1)C1CC(C)OC1;m_274310____15937924____14121252____15870074;17
O=C(NCC(Nc1cc(OC)ccc1)C(C)(C)C)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1726350719;17
O=C(NC1C2C(N(c3nc(O)c4n(C)cnc4n3)C1)CCCC2)CO;m_274310____15938100____15943396____15870922;17
O=C(NC1C2C(N(c3ncnc4n(C5CC5)cnc34)C1)CCCC2)CO;m_274310____15938100____15943396____15870250;17
O=C1NCC(O)C2(C1)CCN(c1ncnc3n(-c4ccccc4)cnc13)CC2;Z3650659446;17
O=C(N1CC(O)CN(c2nc3ncn(C)c3cn2)CC1)C1C[C@H]2[C@@H](C1)C2;m_274310____15937446____14119060____15871096;17
O=C(CN1C(=O)N(CC(C)C)c2ncn(CCOC)c2C1=O)N1C(c2cc(OC)ccc2)CCC1;Z654412188;17
O=C([C@H](O)C(C)C)N1CC2N(c3nc4n(C)cnc4cn3)C(C1)CCC2;m_274310____14112912____12658344____15871032;17
O=C(NC[C@@H](Nc1nc2n(C)cnc2cn1)CO)C1C(CC)OCC1;m_274310____15937766____15940626____15871032;17
