SMILES of Virtual Hit Molecule;Enamine ID
O=C(OC)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)C1c2c(cccc2)CC1;Z3612302150
O=C(NC1C2(C(NCCO)C1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113586____14122416____14147280
Clc1ccc(CC2(O)CN(C(=O)CCSc3ncnc4[nH]cnc34)CC2)cc1;Z4053439943
O=C(NC(CO)C1CC(OC)CCC1)C(C)n1c2ncnc(N)c2nc1;Z2643662773
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)CCC(C4)CC3)Oc2cc1;Z3584997642
O=C(N1CCC(C(=O)OCc2n(C)c3C(=O)NC(=O)N(C)c3n2)CC1)c1c(O)ccc(C)c1;Z847468834
F[C@H]1[C@H]2N(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)C[C@H]([C@H]2C(=O)OC)C1;Z3913607040
O=C(NCC1(O)CC(CN)C1)CN1c2c(Sc3c1cccc3)cccc2;Z3796708247
Fc1c(CC2(O)CC3N(C(=O)CN(C)c4ncnc5nc[nH]c45)C(C2)CC3)ccc(F)c1;Z1550781850
Clc1cc2OC(C(=O)NC[C@@H](O)CN3CCCCC3)=CC(=O)c2cc1;Z2779212098
Fc1cc2OC(C(=O)N3C4(CC(O)C3)CCC4)=CC(=O)c2cc1;Z3628548877
O(C)c1ccc(C(O)C2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCC2)cc1;Z1579784710
O=C(N(CCn1c2ncnc(N)c2nc1)C)C1c2c(ccc(OC)c2)CCC1;Z2844353740
O=C(Nc1cc2C(=O)C=COc2cc1)N1CCC(c2c(OC)cccc2)CCC1;Z3176690792
O=C(N1[C@@H]2[C@H](CN)C[C@H]1CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3889129523
O=C(NC[C@]12[C@H](NCC1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888445660
O=C(OC1C(=O)N(C2CCCCC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3865419285
O=C(N1CC2(c3c(ccc(O)c3)C1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992007795
O=C(NC12COC(CN)(CC1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;m_240690____15266586____16808398
O=C(N1C2CN(C)C(=O)CC1CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992788779
