SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(N1[C@H]2[C@H](O)CC[C@H]2CC1)c1cc2OC=CC(=O)c2cc1;Z2723095745;37
Fc1cc2OC(C(=O)N3CC(F)(C(=O)OC)C(C4CC4)C3)=CC(=O)c2cc1;Z4112550438;37
O=C(N1CCN([C@H]2[C@@H]3C[C@H](C2)CC3)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907478285;37
FC(F)(F)CN1C(=O)C(Oc2cc3OC=C(c4ccc(OC)cc4)C(=O)c3cc2)CCC1;Z1607286671;37
O=C(N(Cc1ccccc1)CC1(O)c2c(cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z1997225580;37
O=C(N1CC2(OCC1)CNCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888620156;37
O=C(CO)N1CC2C(NC(=O)C=3Oc4c(C(=O)C=3)cccc4)CC2C1;m_275592____15865142____14135622____15855972;37
O=C(N1CC(C(=O)N2CCNCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3864007472;37
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC[C@H]3[C@@H]2C3)CCC1;Z3599058896;38
FC(F)(F)CCC(O)(CNC(=O)c1cc2OC=CC(=O)c2cc1)CC;Z2964057252;38
O=C(NC1C(C(=O)OC)CCNCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3700223928;38
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@H](C(=O)O)C[C@H]2[C@@H]1CCC2;Z3254555959;39
O=C(NCC1(O)C(C)CCC1)c1cc2OC=CC(=O)c2cc1;Z2232404424;39
O=C(NCC(O)CCC1CC1)c1cc2OC=CC(=O)c2cc1;Z3652073800;39
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)CC(OC)CC1;m_272330____13770678____9701516;39
O=C(N1[C@H]2[C@H](O)C[C@@H](C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3613080393;39
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@@H](COC)C[C@@H](O)C1;Z3176690097;39
O=C(OC)[C@H]1CN(C(=O)c2cc3OC=CC(=O)c3cc2)C[C@@H](C(C)(C)C)C1;Z3623171520;39
FC1(F)CCC(OCCO)(CNC(=O)c2cc3OC=CC(=O)c3cc2)CC1;Z2718511576;40
O=C(N1CCC(NCC(C)C)(CO)CC1)c1cc2OC=CC(=O)c2cc1;Z2914631467;40
O=C(OC)CC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C2(C1)CCOCC2;Z3909823022;40
Clc1cc2OC(C(=O)NC(C(O)C3CCCCC3)CO)=CC(=O)c2cc1;Z2915512464;41
O=C(NC12C3(OC(C)(C1)C2)CCNCC3)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888822171;41
O=C(NC12COC(C1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____15149284____16808382;41
O=C(N1[C@@H]([C@H](O)CC1)c1c(OC)cccc1)C1=C(C)C(=O)c2c(O1)cccc2;Z3585820662;42
FC(F)(F)CCC1(O)CCN(C(=O)Nc2cc3C(=O)C=COc3cc2)CC1;Z3176691503;42
