SMILES of Virtual Hit Molecule;Enamine ID;Rank
Fc1cc2C(=O)C=C(C(=O)N3C(C(=O)OCC)(Cc4ccccc4)CCC3)Oc2cc1;Z1848666065;12
Fc1cc2OC(C(=O)N3C(C(C)C)C4(C3)CCCCC4)=CC(=O)c2cc1;Z2305337664;12
Clc1cc2OC(C(=O)N3CC(CN4CC(O)CC4)CCC3)=CC(=O)c2cc1;Z2713267676;13
O=C(N1C2(CC(O)CC1)CC2)c1cc2OC=CC(=O)c2cc1;Z3608741100;13
Clc1cc2C(=O)C=C(C(=O)NC(C(=O)OC)CC3COCC3)Oc2cc1;Z3625797007;13
O=C(N1[C@@H]2[C@@H](CC3(OCCO3)CC2)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3610547741;13
Brc1cc2C(=O)C=C(C(=O)N3CC4C(O)CC(C3)C4)Oc2cc1;Z3855298058;13
Clc1cc2OC(C(=O)N3[C@@H](CN(C)C)C[C@@H](O)C3)=CC(=O)c2cc1;Z4026849870;13
O=C(CNc1cc2C(=O)C=COc2cc1)N1C2C(CCC1)CCCC2;Z3341100133;13
O=C(NC1CC2(NCC1)CCCCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3134355992;13
Fc1cc2OC(C(=O)NC3C4(C(=O)OC)C(C4)CC3)=CC(=O)c2cc1;Z4027646108;13
Fc1cc2C(=O)C=C(C(=O)NC3C4(C(=O)OC)CC(C3)CC4)Oc2cc1;Z3761566379;13
Fc1cc2OC(C(=O)NC3C4CC(C(=O)OC)CC3COC4)=CC(=O)c2cc1;Z4087613549;13
Clc1cc2C(=O)C=C(C(=O)NC34C5(OC(CO)(C3)C4)COC5)Oc2cc1;Z3651677446;13
O=C(N1CC23C(C1)(CNC2)CCCC3)C1=C(C)C(=O)c2c(O1)cccc2;Z3139577253;13
Clc1cc2C(=O)C=C(C(=O)N3C4C(c5nc[nH]c5CC4)CCC3)Oc2cc1;Z3584505543;13
Fc1cc2OC(C(=O)N3C4C(c5ncn(C)c5CC4)CCC3)=CC(=O)c2cc1;Z3584463637;13
O=C(NC1C(O)CN(CCOC)CC1)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113700____14122416____14148176;14
Clc1cc2OC(C(=O)NC[C@@H](O)CN3CCCCC3)=CC(=O)c2cc1;Z2779212098;14
O=C(N1C2([C@H](O)[C@H](O)C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z4026881023;14
O=C(NC12C3(OC(C)(C1)C2)CCNCC3)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888822171;14
FC(F)(F)CCC1(O)CCN(C(=O)Nc2cc3C(=O)C=COc3cc2)CC1;Z3176691503;14
Fc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)[C@@H]4C[C@H]3CC4)Oc2cc1;s_11____16903418____55582;14
O=C(N1C2C(CO)C(C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3611183253;14
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C#N)C(C1)CCCCC2;Z3599057171;14
Clc1cc2OC(C(=O)NC3(CO)C4C(C4)CCC3)=CC(=O)c2cc1;s_22____15780462____11355434;14
O=C(Nc1cc2C(=O)C=COc2cc1)[C@@]12[C@@H](NC(=O)C1)CCCC2;Z3090983384;14
Fc1cc2C(=O)C=C(C(=O)NC3(C)C(C(=O)OC)CCCC3)Oc2cc1;Z1580144559;14
Clc1cc2OC(C(=O)NCC(CO)CC3CCOCC3)=CC(=O)c2cc1;Z2373267259;14
Brc1cc2OC(C(=O)N3C[C@H]4N(C[C@H](O)C4)CC3)=CC(=O)c2cc1;Z3985924283;14
Clc1cc2OC(C(=O)N[C@@]34[C@@H](NC(=O)C3)CCCC4)=CC(=O)c2cc1;Z2966656777;14
FC(F)(F)C1CC(O)(CNC(=O)Nc2cc3C(=O)C=COc3cc2)CCC1;Z3176688412;14
O=C(N(CC1C(O)CCCC1)C)c1cc2OC=CC(=O)c2cc1;Z1997338967;14
Clc1cc2C(=O)C=C(C(=O)NC34CC(CN)(OC3)CC4)Oc2cc1;Z3522748556;14
Clc1cc2OC(C(=O)NCC3OCC4(CC3)CCOCC4)=CC(=O)c2cc1;Z2849755328;14
Fc1cc2C(=O)C=C(C(=O)NC3(CNC(=O)OC(C)(C)C)C(C)CCCC3)Oc2cc1;Z1264556598;14
O=C(N1C2(CC(N)C1)CCCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888767667;15
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)C5CC4C(C3)C5)Oc2cc1;Z1998317687;15
O=C(N1C2C(O)CCC(C)(C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3591625208;15
O=C(NCC1(O)C(C)CCC1)c1cc2OC=CC(=O)c2cc1;Z2232404424;15
O=C(NCC(O)CCC1CC1)c1cc2OC=CC(=O)c2cc1;Z3652073800;15
Fc1cc2C(=O)C=C(C(=O)N3C4C(C(=O)OC)CC(C3)CC4)Oc2cc1;Z2326786655;15
Fc1cc2OC(C(=O)N3C4(C(CO)CC3)CCOCC4)=CC(=O)c2cc1;Z4025349796;15
O=C(NCC12CC3(OC)CC(C1)CC(C3)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907198120;15
O=C(NCCC1(O)CCN(c2ccccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z2782940350;15
O=C(N1CC2(OC[C@H]3[C@@H]2C3)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3624312239;15
Clc1cc2OC(C(=O)N3CC(O)(CC#N)CC3)=CC(=O)c2cc1;Z2457682016;15
Clc1cc2C(=O)C=C(C(=O)N3CC(C(=O)OC)(C4CCC4)CC3)Oc2cc1;Z3707925228;15
O=C(N1CC2C3NCC(C2C1)CC3)C=1Oc2c(C(=O)C=1)cccc2;Z2706373346;15
O=C(NC1CCN(C(=O)c2cc3OC=CC(=O)c3cc2)CC1)CC1CCCCC1;Z1994242215;15
Clc1cc2OC(C(=O)N3CC(C)(C)C[C@@H]4OCC[C@@H]4C3)=CC(=O)c2cc1;Z3613159386;15
Fc1cc2C(=O)C=C(C(=O)N3C[C@H]4[C@@H](C(C)(C)CC3)OCC4)Oc2cc1;Z3749115213;15
Fc1cc2OC(C(=O)NCC(OC)C3OCCC3)=CC(=O)c2cc1;Z3856981315;15
Fc1cc2OC(C(=O)N[C@H]3C4([C@H](N5CCOCC5)C3)CCC4)=CC(=O)c2cc1;Z2646992350;15
O=C(NCC1OC2(C(C)C(C)OC2)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3086693267;15
Fc1cc2C(=O)C=C(C(=O)N3CCC4(C(C(=O)N5CCCC5)C4)CC3)Oc2cc1;Z1580543516;15
Fc1cc2C(=O)C=C(C(=O)OCC(=O)NC(c3ccc(F)cc3)C3CCCC3)Oc2cc1;Z792955188;15
Fc1cc2C(=O)C=C(C(=O)NC3C4OCC5C4CC3C5)Oc2cc1;Z2822106954;15
O=C(OC)[C@H]1N(C(=O)C2=C(C)C(=O)c3c(O2)cccc3)C[C@H](OCC)C1;Z3715833003;15
O=C(N1C(C2OCCC2)CC(C(=O)OC)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3086856065;16
O=C(N1C(C2OCCC2)CC(C(=O)OC)CC1)c1cc2OC=CC(=O)c2cc1;Z2963269292;16
O=C(OC)C1(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)C2C(C2)CC1;m_22____15106204____16808382;16
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)CC(OC)CC1;m_272330____13770678____9701516;16
Clc1cc2C(=O)C=C(C(=O)N3C4(CC(N)C3)COCCC4)Oc2cc1;Z3521197007;16
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)C(C)(C)CCC1;m_272330____13770678____17522432;16
Fc1cc2C(=O)C=C(C(=O)N3C4(C(O)CC3)CSCC4)Oc2cc1;Z2676162492;16
Fc1cc2OC(C(=O)NC3CC4(N(C(OC(C)(C)C)=O)CC3)CCC4)=CC(=O)c2cc1;Z2228675612;16
O=C(N1[C@H]2[C@@](CO)(CC1)CCC2)c1cc2OC=CC(=O)c2cc1;Z2884193684;16
O=C(NC(CO)CC1CCCCC1)c1cc2OC=CC(=O)c2cc1;Z2358342028;16
Clc1cc2C(=O)C=C(C(=O)N3C(C(=O)CCC(=O)OC)CCC3)Oc2cc1;Z3209549898;16
O=C(Nc1cc2C(=O)C=COc2cc1)N1C2C3(C(C)(C)C(C2)CC3)CC1;s_2430____13770670____14597920;16
Clc1cc2C(=O)C=C(C(=O)NC3(CO)CC(C)(C)CC(C)C3)Oc2cc1;Z1680941194;16
Clc1cc2C(=O)C=C(C(=O)N3C[C@H](C(C)(C)C)C[C@H](CO)C3)Oc2cc1;Z3638926583;16
